clinic,city,address,phone,website,rating,reviews,status
"Østervågtannlegene - Tannlege i Stavanger","Stavanger","Sølvberggata 16, 4006 Stavanger","51 89 50 80","http://otann.no/","4.7","14","new"
"Hillevågstannlegene","Stavanger","Gartnerveien 41, 4016 Stavanger","51 82 72 72","https://hillevagstannlegene.no/","4.9","14","new"
"Vennadent Tannklinikk","Stavanger","Petroleumsveien 6, 4033 Stavanger","51 80 00 52","https://vennadent.no/","4.9","25","new"
"Tannlege Hans Kristian Ognedal","Stavanger","Løkkeveien 101, 4008 Stavanger","51 52 03 17","http://www.bratann.no/","5","7","new"
"Tannlegene Nag & Prokes","Stavanger","Løkkeveien 51, 4008 Stavanger","51 52 12 23","http://nogp.no/","5","4","new"
"Stavanger Tann- og Kjeveklinikk","Stavanger","St. Olavs Gate 7, 4005 Stavanger","51 53 01 99","https://stavangertann.no/","5","8","new"
"Jone Heggheim Tannlege","Stavanger","Løkkeveien 99, 4008 Stavanger","40 46 28 92","https://booking.bykronen-dental.no/jone-heggheim","","","new"
"Tannlegene på Sølvberget AS","Stavanger","Kirkegata 13, 4006 Stavanger","51 22 49 15","http://www.perleraden.net/","3.7","3","new"
"Tannlege Geir Tidemann Førland","Stavanger","Kongsgata 10, 4005 Stavanger","51 85 60 30","","5","1","new"
"Tannlege Stig Ohm","Stavanger","Løkkeveien 56, 4008 Stavanger","51 53 75 40","","","","new"
"Tor Oldrik Einarsen Tannlege","Stavanger","Klubbgata 2, 4013 Stavanger","51 85 60 30","","4.5","2","new"
"Tannlege Janette Serene Galdal Hansen","Stavanger","Kirkegata 3, 4006 Stavanger","51 55 89 00","","3.7","3","new"
"Tannlegene i Centralgaarden","Stavanger","Kirkegata 3, 4006 Stavanger","51 89 30 60","http://www.centralgarden.no/","5","1","new"
"Lene Bøe Tannlege Burgaard","Stavanger","Løkkeveien 51, 4008 Stavanger","","","5","1","new"
"Tannlege Torbjørn Aareskjold","Stavanger","Madlamarkveien 2, 4041 Hafrsfjord","51 58 86 83","http://www.tannlegeteamet.no/","5","6","new"
"Tannlegene i Velværegården","Stavanger","Fjellbergveien 5, 4085 Hundvåg","51 89 30 60","http://www.velvaregarden.no/","5","16","new"
"Tannlege Anne Live Omholt","Stavanger","Randabergveien 45, 4025 Stavanger","51 56 59 00","http://tannklinikkomholtlie.no/","5","1","new"
"Tannlegene i St. Olav","Stavanger","Kannikbakken 6, 4005 Stavanger","51 52 84 52","http://www.tisto.no/kontakt","1","2","new"
"Tenner og Trivsel","Stavanger","Gartnerveien 15, 4016 Stavanger","51 52 96 18","https://www.tennerogtrivsel.no/","4.5","15","new"
"Tannlege Christian Tønnessen AS","Stavanger","Hamneveien 15, 2 Etasje, 4016 Stavanger","51 55 55 45","","5","7","new"
"Tannlege Ole Chr. Amundsen AS","Stavanger","Haakon VIIs gate 7, 4005 Stavanger","51 56 52 50","http://tannforum.no/","3.9","7","new"
"Stokkaveien tannlegekontor","Stavanger","Stokkaveien 45, 4024 Stavanger","51 52 50 70","http://www.stokkatann.no/kontakt","4.5","23","new"
"Bjørn Mølster","Stavanger","Kirkegata 13, 4006 Stavanger","51 89 42 43","","5","1","new"
"Tannlegene Hetland AS","Stavanger","Hinnasvingene 50, 4020 Stavanger","51 88 15 80","http://www.tannlegenehetland.no/","2.5","4","new"
"Tannlege Tore Tjosevik AS","Stavanger","Heddeveien 120, 4034 Stavanger","51 57 14 98","","4.7","3","new"
"Tannleger","Stavanger","Nedre Holmegate 9A, 4006 Stavanger","","","","","new"
"Torjer Bertelsen","Stavanger","Kongsgata 10, 4005 Stavanger","91 19 80 23","https://www.opendi.no/stavanger/74941.html","5","1","new"
"Tannlege Marke Franca","Stavanger","Heddeveien 120, 4034 Stavanger","51 57 14 98","","5","1","new"
"Sander & Büchner ANS","Stavanger","Østervågkaien 1, 4006 Stavanger","51 89 50 80","","5","1","new"
"DMDL TANNKLINIKK & TANNLEGEVAKT","Kristiansand","på hjørne, Festningsgata 39, 2 etasje, 4611 Kristiansand","94 09 99 33","https://dmdldental.no/","4.8","123","new"
"Tannlege Klouman Kristiansand","Kristiansand","Skippergata 1b, 4611 Kristiansand","38 02 24 63","http://www.tannlegeklouman.no/","5","61","new"
